Year,Paper ID,Title,Author,Affiliation,Country,Latitude,Longitude,Coordinates,Keywords
2023,1869,Giving Access To Born-Digital Archives at the Archives Nationales (France): The Oedipus Riddle,Matias Ferrera,Archives nationales de France,France,46.227638,2.213749,"46.227638, 2.213749","access, DIP, integrity, fixity, checksum"
2022,16,OAIS-compliant digital archiving of research and patrimonial data in DNA,Lamia Friha,"IT Division, University of Geneva",Switzerland,46.818188,8.227512,"46.818188, 8.22751199999999","OAIS compliant, DNA storage, DLCM technology, OLOS, digital repository"
2022,16,OAIS-compliant digital archiving of research and patrimonial data in DNA,Pierre-Yves Burgi,"IT Division, University of Geneva",Switzerland,46.818188,8.227512,"46.818188, 8.22751199999999","OAIS compliant, DNA storage, DLCM technology, OLOS, digital repository"
2022,16,OAIS-compliant digital archiving of research and patrimonial data in DNA,Dina Andriamahady,"Medical Library, University of Geneva",Switzerland,46.818188,8.227512,"46.818188, 8.22751199999999","OAIS compliant, DNA storage, DLCM technology, OLOS, digital repository"
2022,16,OAIS-compliant digital archiving of research and patrimonial data in DNA,Basma Makhlouf Shabou,School of Business Adm. of Geneva,Switzerland,46.818188,8.227512,"46.818188, 8.22751199999999","OAIS compliant, DNA storage, DLCM technology, OLOS, digital repository"
2023,1265,Approaches to Digital Preservation Product and Service Sustainability: Comparing alternate approaches,Kelly Stewart,Artefactual,Canada,56.130366,-106.346771,"56.130366, -106.346771","Products, Services, Standards"
2022,16,OAIS-compliant digital archiving of research and patrimonial data in DNA,Linda Meiser,,Switzerland,46.818188,8.227512,"46.818188, 8.22751199999999","OAIS compliant, DNA storage, DLCM technology, OLOS, digital repository"
2023,699,"PREMIS Implementation Fair Workshop, Exchanging Experiences using PREMIS",Sarah Romkey,Artefactual Systems,Canada,56.130366,-106.346771,"56.130366, -106.346771","PREMIS, Preservation, Metadata, Preservation Metadata"
2023,3582,Embedding Preservability: Iframes in Complex Scholarly Publications,Angela T. Spinazzè,ATSPIN consulting,United States,37.09024,-95.712891,"37.09024, -95.712891","websites, publishing, publications"
2022,17,Seeking Sustainability: Developing a Modern Distributed Digital Preservation System,Hannah Wang,Educopia Institute,United States,37.09024,-95.712891,"37.09024, -95.712891","distributed digital preservation, sustainability, software defined storage, cloud infrastructure, inclusion"
2022,17,Seeking Sustainability: Developing a Modern Distributed Digital Preservation System,Nathan Tallman,Penn State University,United States,37.09024,-95.712891,"37.09024, -95.712891","distributed digital preservation, sustainability, software defined storage, cloud infrastructure, inclusion"
2022,18,These Crawls can Talk. Context Information for Web Collections.,Daniel Steinmeier,National Library of the Netherlands,Netherlands,52.132633,5.291266,"52.132633, 5.29126599999999","Preservation, Metadata, Context Information, Web Collections"
2022,18,These Crawls can Talk. Context Information for Web Collections.,Susanne van den Eijkel,National Library of the Netherlands,Netherlands,52.132633,5.291266,"52.132633, 5.29126599999999","Preservation, Metadata, Context Information, Web Collections"
2022,20,The design and implementation of a necessary and sufficient system for the long-term archival retention of digital documents,Claire Collins,Gloucestershire County Council,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","Archive, Provenance, Authenticity, Fixity"
2022,20,The design and implementation of a necessary and sufficient system for the long-term archival retention of digital documents,Viv Cothey,Gloucestershire County Council,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","Archive, Provenance, Authenticity, Fixity"
2022,22,2021 NDSA Staffing Survey: Digital Preservation Intent vs Reality,Sharon McMeekin,Digital Preservation Coalition,United States,37.09024,-95.712891,"37.09024, -95.712891","staffing, organization, resources, skills, training"
2022,22,2021 NDSA Staffing Survey: Digital Preservation Intent vs Reality,Juana Suárez,New York University,United States,37.09024,-95.712891,"37.09024, -95.712891","staffing, organization, resources, skills, training"
2022,22,2021 NDSA Staffing Survey: Digital Preservation Intent vs Reality,Elizabeth England,U.S. National Archives and Records Administration,United States,37.09024,-95.712891,"37.09024, -95.712891","staffing, organization, resources, skills, training"
2022,22,2021 NDSA Staffing Survey: Digital Preservation Intent vs Reality,Shira Peltzman,University of California Los Angeles Library,United States,37.09024,-95.712891,"37.09024, -95.712891","staffing, organization, resources, skills, training"
2023,131,"Policies, Risks and Strategies: A File Format Debate",Tyler Thorsted,Brigham Young University,United States,37.09024,-95.712891,"37.09024, -95.712891","File formats, file format policy, file format assessment, preservation planning, preservation strategy"
2023,8082,Key Elements of a File Format Strategy,Tyler Thorsted,Brigham Young University,United States,37.09024,-95.712891,"37.09024, -95.712891","File Formats, Documentation, Registry"
2023,3523,NDSA Levels of Digital Preservation: A Review in Terms of Trustworthiness of Digital Records,Özhan Saglik,Bursa Uludag University / University of British Columbia,Türkiye / Canada,56.130366,-106.346771,"56.130366, -106.346771","Digital records, digital preservation, trustworthiness"
2023,8980,Tacit Processes: Qualitative Analysis Toward Bottom-Up Emulation Workflows,Adam Larson,California State University Channel Islands,United States,37.09024,-95.712891,"37.09024, -95.712891","Emulation, Digital Preservation, Qualitative Analysis, Grounded Theory"
2023,8980,Tacit Processes: Qualitative Analysis Toward Bottom-Up Emulation Workflows,Eric Kaltman,California State University Channel Islands,United States,37.09024,-95.712891,"37.09024, -95.712891","Emulation, Digital Preservation, Qualitative Analysis, Grounded Theory"
2022,22,2021 NDSA Staffing Survey: Digital Preservation Intent vs Reality,Lauren Work,University of Virginia,United States,37.09024,-95.712891,"37.09024, -95.712891","staffing, organization, resources, skills, training"
2022,24,"Computational Access to Digital Material: Exploring topics around engagement, ethics and resources",Leontien Talboom,Cambridge University Libraries,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","computational access, collections as data, access, computational methods"
2023,7049,A Storage and Search Demonstration with DNA-Encoded Text,Laurel Provencher,Catalog Technologies,United States,37.09024,-95.712891,"37.09024, -95.712891","DNA, sustainability, storage, search"
2023,7049,A Storage and Search Demonstration with DNA-Encoded Text,Sean Mihm,Catalog Technologies,United States,37.09024,-95.712891,"37.09024, -95.712891","DNA, sustainability, storage, search"
2023,7049,A Storage and Search Demonstration with DNA-Encoded Text,Swapnil Bhatia,Catalog Technologies,United States,37.09024,-95.712891,"37.09024, -95.712891","DNA, sustainability, storage, search"
2022,24,"Computational Access to Digital Material: Exploring topics around engagement, ethics and resources",Jenny Mitcham,Digital Preservation Coalition,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","computational access, collections as data, access, computational methods"
2022,24,"Computational Access to Digital Material: Exploring topics around engagement, ethics and resources",Sonia Ranade,"The National Archives, UK",United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","computational access, collections as data, access, computational methods"
2023,2056,From Theory to Practice: Understanding the Evolution of a Digital Preservation Project from Conception to Final Repository. Some Real Cases,Chris Knowles,"Churchill Archives Centre, University of Cambridge",United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","Digital Preservation Project, Digital Repositories, Implementation"
2022,24,"Computational Access to Digital Material: Exploring topics around engagement, ethics and resources",James Baker,University of Southampton,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","computational access, collections as data, access, computational methods"
2022,25,ARCHIVER: Sustainable Preservation of Scientific Data,Matthew Addis,Arkivum Ltd,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","Digital Preservation, Scientific Data, Trusted Digital Repository, Sustainability, Scalability"
2022,25,ARCHIVER: Sustainable Preservation of Scientific Data,João Fernandes,CERN,Switzerland,46.818188,8.227512,"46.818188, 8.22751199999999","Digital Preservation, Scientific Data, Trusted Digital Repository, Sustainability, Scalability"
2022,25,ARCHIVER: Sustainable Preservation of Scientific Data,Teo Redondo,LIBNOVA,Spain,40.463667,-3.74922,"40.463667, -3.74922","Digital Preservation, Scientific Data, Trusted Digital Repository, Sustainability, Scalability"
2023,2496,Towards Preserving Web-Based Student Publications at Concordia University,John Richan,Concordia University,Canada,56.130366,-106.346771,"56.130366, -106.346771","web archiving, student publications, university archives, academic libraries, Archive-It"
2022,26,Passive Digital Preservation on Paper in Practice,Jean-Noël Dumont,Andra,France,46.227638,2.213749,"46.227638, 2.213749","database, passive preservation, permanent paper, radioactive waste management"
2023,2496,Towards Preserving Web-Based Student Publications at Concordia University,Sarah Lake,Concordia University,Canada,56.130366,-106.346771,"56.130366, -106.346771","web archiving, student publications, university archives, academic libraries, Archive-It"
2022,26,Passive Digital Preservation on Paper in Practice,Vincent Joguin,Eupalia,France,46.227638,2.213749,"46.227638, 2.213749","database, passive preservation, permanent paper, radioactive waste management"
2023,225,Calculating the Carbon Footprint of Digital Preservation - A Case Study,Heikki Helin,CSC - IT Center for Science,Finland,61.92411,25.748151,"61.9241099999999, 25.748151","sustainability, carbon footprint, data centers, hardware manufacturing, hardware service life"
2023,225,Calculating the Carbon Footprint of Digital Preservation - A Case Study,Johan Kylander,CSC - IT Center for Science,Finland,61.92411,25.748151,"61.9241099999999, 25.748151","sustainability, carbon footprint, data centers, hardware manufacturing, hardware service life"
2022,28,Vanished: Preserving the Carmichael Watson Project Website Offline Using Webrecorder,Anisa Hawes,Freelance Researcher & Web Archivist,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","Web Archiving, Webrecorder, Technology Obsolescence, Disaster Recovery, Heritage Stewardship"
2023,225,Calculating the Carbon Footprint of Digital Preservation - A Case Study,Juha Lehtonen,CSC - IT Center for Science,Finland,61.92411,25.748151,"61.9241099999999, 25.748151","sustainability, carbon footprint, data centers, hardware manufacturing, hardware service life"
2023,225,Calculating the Carbon Footprint of Digital Preservation - A Case Study,Mikko Tiainen,CSC - IT Center for Science,Finland,61.92411,25.748151,"61.9241099999999, 25.748151","sustainability, carbon footprint, data centers, hardware manufacturing, hardware service life"
2023,1702,"Understanding and implementing mets, A tutorial focused on METS 2",Juha Lehtonen,CSC - IT Center for Science,Finland,61.92411,25.748151,"61.9241099999999, 25.748151","Metadata and information strategies and workflows; Infrastructure, systems, and tools; Case studies, best practices and novel challenges; Training and education for a new version"
2022,28,Vanished: Preserving the Carmichael Watson Project Website Offline Using Webrecorder,Sara Day Thomson,University of Edinburgh,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","Web Archiving, Webrecorder, Technology Obsolescence, Disaster Recovery, Heritage Stewardship"
2022,29,"""A Tartan Rather Than a Plain Cloth"": Building a Shared Workflow to Preserve the Regional Ethnology of Scotland Project Archive",Sarah Day Thomson,University of Edinburgh,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","oral history, workflow documentation, Archivematica, automation"
2023,131,"Policies, Risks and Strategies: A File Format Debate",Valentijn Gilissen,Data Archiving and Networked Services (DANS),Netherlands,52.132633,5.291266,"52.132633, 5.29126599999999","File formats, file format policy, file format assessment, preservation planning, preservation strategy"
2022,30,CONSTRUCTION OF A BENCHMARK MODEL FOR LONG-TERM PRESERVATION VALUE EVALUATION OF ACADEMIC INFORMATION ON SOCIAL MEDIA,Liu Hui,Department of Information Management of Peking University National Science Library of CAS,China,35.86166,104.195397,"35.86166, 104.195397",academic information; social media; evaluation indicators; long-term preservation; preservation value
2023,6372,Community is We: Modeling Collective Action as a Framework for Digital Preservation,Mikala Narlock,"Data Curation Network, University of Minnesota",United States,37.09024,-95.712891,"37.09024, -95.712891",Best practices; education; collaboration; shared research
2022,30,CONSTRUCTION OF A BENCHMARK MODEL FOR LONG-TERM PRESERVATION VALUE EVALUATION OF ACADEMIC INFORMATION ON SOCIAL MEDIA,Zhang Dongrong,National Science Library of CAS University of Chinese Academy of Sciences,China,35.86166,104.195397,"35.86166, 104.195397",academic information; social media; evaluation indicators; long-term preservation; preservation value
2022,32,"ACT NOW, LATE OR NEVER: Make Digital Objects (more) archivable early in their life cycle?",Katharina Markus,ZB MED – Information Centre for Life Sciences,Germany,51.165691,10.451526,"51.165691, 10.451526","Archivability, Digital Preservation, Validity, PDF format"
2022,32,"ACT NOW, LATE OR NEVER: Make Digital Objects (more) archivable early in their life cycle?",Yvonne Tunnat,ZBW Leibniz Information Centre for Economics,Germany,51.165691,10.451526,"51.165691, 10.451526","Archivability, Digital Preservation, Validity, PDF format"
2023,317,THE VALORIZATION OF THE TUNISIAN RADIO ARCHIVE IN THE ARTIFICIAL INTELLIGENCE ERA,Sami Meddeb,Digital Cooperation Association Tunisia,Tunisia,33.886917,9.537499,"33.886917, 9.537499","artificial intelligence, image, music, Audiovisual, chatbot"
2022,33,AUTOMATED TOPIC MODELLING IN ARCHIVES PORTAL EUROPE,Kerstin Arnold,Archives Portal Europe,Germany,51.165691,10.451526,"51.165691, 10.451526",0
2022,33,AUTOMATED TOPIC MODELLING IN ARCHIVES PORTAL EUROPE,Kostantinos Stamatis,Archives Portal Europe,Greece,39.074208,21.824312,"39.074208, 21.824312",0
2023,1157,Digital Preservation Tools for Developing Capacity and Skills,Amy Currie,Digital Preservation Coalition,Scotland,56.4906712,-4.2026458,"56.4906711999999, -4.2026458","Maturity modelling, skills, good practice, continuous development, benchmarking"
2022,33,AUTOMATED TOPIC MODELLING IN ARCHIVES PORTAL EUROPE,Marta Musso,Archives Portal Europe,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973",0
2022,35,UNDERSTANDING AND IMPLEMENTING PREMIS A tutorial,Karin Bredenberg,Kommunalförbundet Sydarkivera,Sweden,60.128161,18.643501,"60.128161, 18.643501","Preservation metadata, Preservation strategies and workflows; systems, and tools; Case studies, best practices and novel challenges; Training and education"
2022,35,UNDERSTANDING AND IMPLEMENTING PREMIS A tutorial,Eld Zierau,Royal Danish Library,Denmark,56.26392,9.501785,"56.26392, 9.501785","Preservation metadata, Preservation strategies and workflows; systems, and tools; Case studies, best practices and novel challenges; Training and education"
2022,35,UNDERSTANDING AND IMPLEMENTING PREMIS A tutorial,Micky Lindlar,TIB Leibniz Information Centre for Science and Technology,Germany,51.165691,10.451526,"51.165691, 10.451526","Preservation metadata, Preservation strategies and workflows; systems, and tools; Case studies, best practices and novel challenges; Training and education"
2023,1157,Digital Preservation Tools for Developing Capacity and Skills,Jenny Mitcham,Digital Preservation Coalition,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","Maturity modelling, skills, good practice, continuous development, benchmarking"
2023,3499,Procuring IT Systems - Thinking about digital preservation from the start,Jenny Mitcham,Digital Preservation Coalition,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","Procurement, IT systems, data export"
2023,5547,Documentation Good Practice: Bringing Order in Disruptive Times,Jenny Mitcham,Digital Preservation Coalition,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","Documentation, Good practice, Guidance, Collaboration"
2023,6397,Lessons From The Future: Looking Back On Policy Development,Jenny Mitcham,Digital Preservation Coalition,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","policy, outreach, documentation, advocacy"
2022,40,Continuous Improvement Tools for Developing Capacity and Skills,Amy Currie,Digital Preservation Coalition,Scotland,56.4906712,-4.2026458,"56.4906711999999, -4.2026458","Maturity modelling, skills, good practice, continuous development, benchmarking"
2023,3499,Procuring IT Systems - Thinking about digital preservation from the start,Michael Popham,Digital Preservation Coalition,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","Procurement, IT systems, data export"
2023,8445,Notions of value in digital objects,Michael Popham,Digital Preservation Coalition,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","Appraisal, value, cost"
2022,40,Continuous Improvement Tools for Developing Capacity and Skills,Jenny Mitcham,Digital Preservation Coalition,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","Maturity modelling, skills, good practice, continuous development, benchmarking"
2022,40,Continuous Improvement Tools for Developing Capacity and Skills,Sharon McMeekin,Digital Preservation Coalition,Scotland,56.4906712,-4.2026458,"56.4906711999999, -4.2026458","Maturity modelling, skills, good practice, continuous development, benchmarking"
2022,41,Archivematica-EPrints Integration: Developing digital preservation capacity for open repositories,Sarah Lake,Concordia University,Canada,56.130366,-106.346771,"56.130366, -106.346771","Digital preservation systems, digital repositories, integration, EPrints, Archivematica"
2023,3499,Procuring IT Systems - Thinking about digital preservation from the start,Paul Wheatley,Digital Preservation Coalition,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","Procurement, IT systems, data export"
2022,41,Archivematica-EPrints Integration: Developing digital preservation capacity for open repositories,Tomasz Neugebauer,Concordia University,Canada,56.130366,-106.346771,"56.130366, -106.346771","Digital preservation systems, digital repositories, integration, EPrints, Archivematica"
2023,3587,"Plus Ça Change…? Eight years after the end of the 4C project, what next for the Curation Costs Exchange?",Sarah Middleton,Digital Preservation Coalition,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","4C Project, Sustainability, Community consultation, CCEx, CCT"
2022,42,Eternalize DBs workshop - exchange on sustainability and re-use of database content,Kai Naumann,Landesarchiv Baden-Württemberg,Germany,51.165691,10.451526,"51.165691, 10.451526","database content, format migration, emulation, GeoPackage, SIARD"
2022,42,Eternalize DBs workshop - exchange on sustainability and re-use of database content,Kevin A. McMahon,,United States,37.09024,-95.712891,"37.09024, -95.712891","database content, format migration, emulation, GeoPackage, SIARD"
2022,44,Digital Preservation Pipeline for Data Storage Media At The Cinémathèque Suisse,Rebecca ROCHAT,Cinémathèque suisse,Switzerland,46.818188,8.227512,"46.818188, 8.22751199999999","data storage media, digital archival imaging, migration, obsolescence, media dump"
2023,1157,Digital Preservation Tools for Developing Capacity and Skills,Sharon McMeekin,Digital Preservation Coalition,Scotland,56.4906712,-4.2026458,"56.4906711999999, -4.2026458","Maturity modelling, skills, good practice, continuous development, benchmarking"
2023,6372,Community is We: Modeling Collective Action as a Framework for Digital Preservation,Sharon McMeekin,Digital Preservation Coalition,Scotland,56.4906712,-4.2026458,"56.4906711999999, -4.2026458",Best practices; education; collaboration; shared research
2023,6397,Lessons From The Future: Looking Back On Policy Development,Sharon McMeekin,Digital Preservation Coalition,Scotland,56.4906712,-4.2026458,"56.4906711999999, -4.2026458","policy, outreach, documentation, advocacy"
2023,9352,Running Up That Hill: Making Digital Preservation Skills Accessible with Novice to Know-How,Sharon McMeekin,Digital Preservation Coalition,Scotland,56.4906712,-4.2026458,"56.4906711999999, -4.2026458","Training, Workforce Development, Skills, Collaboration"
2023,1265,Approaches to Digital Preservation Product and Service Sustainability: Comparing alternate approaches,William Kilbride,Digital Preservation Coalition,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","Products, Services, Standards"
2023,5103,Community Archives at the Digital Repository of Ireland,Kevin Long,Digital Repository of Ireland,Ireland,53.7797554,-7.3055309,"53.7797554, -7.3055309","Digital Archives, Community Archives, Digital Preservation, Inclusion, Membership, Ireland, Cultural Heritage data"
2023,5103,Community Archives at the Digital Repository of Ireland,Lisa Griffith,Digital Repository of Ireland,Ireland,53.7797554,-7.3055309,"53.7797554, -7.3055309","Digital Archives, Community Archives, Digital Preservation, Inclusion, Membership, Ireland, Cultural Heritage data"
2022,44,Digital Preservation Pipeline for Data Storage Media At The Cinémathèque Suisse,Robin FRANÇOIS,Cinémathèque suisse,Switzerland,46.818188,8.227512,"46.818188, 8.22751199999999","data storage media, digital archival imaging, migration, obsolescence, media dump"
2022,45,Preserving Complex Digital Objects Revisited,Caylin Smith,Cambridge University Libraries,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","file formats, time-based media, technology watch, collaboration, capacity building"
2023,4553,Virtualization for processing and accessing digital archives,[Matthew] Farrell,Duke University Libraries,United States,37.09024,-95.712891,"37.09024, -95.712891","Containerization, desktop virtualization, virtual machine, special collections, born-digital archives, virtual reading room"
2022,45,Preserving Complex Digital Objects Revisited,Sara Day Thomson,Edinburgh University Library,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","file formats, time-based media, technology watch, collaboration, capacity building"
2022,45,Preserving Complex Digital Objects Revisited,Patricia Falcao,Tate,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","file formats, time-based media, technology watch, collaboration, capacity building"
2022,48,"E-ARK, Ten years and still going strong: Results, Use Cases and Benefits.",David Anderson,Highbury R&D,Ireland,53.7797554,-7.3055309,"53.7797554, -7.3055309","E-ARK, Digital Europe Programme, eArchiving"
2022,48,"E-ARK, Ten years and still going strong: Results, Use Cases and Benefits.",Jaime Kaminski,Highbury R&D,Ireland,53.7797554,-7.3055309,"53.7797554, -7.3055309","E-ARK, Digital Europe Programme, eArchiving"
2022,48,"E-ARK, Ten years and still going strong: Results, Use Cases and Benefits.",Janet Anderson,Highbury R&D,Ireland,53.7797554,-7.3055309,"53.7797554, -7.3055309","E-ARK, Digital Europe Programme, eArchiving"
2022,48,"E-ARK, Ten years and still going strong: Results, Use Cases and Benefits.",Diogo Proença,INESC-ID,Portugal,39.399872,-8.224454,"39.3998719999999, -8.224454","E-ARK, Digital Europe Programme, eArchiving"
2023,4732,From Community-Supported Values to Action: Operationalizing the Digital Preservation Declaration of Shared Values,Jess Farrell,Educopia Institute,United States,37.09024,-95.712891,"37.09024, -95.712891",Digital preservation; collaboration; values; transparency; accountability
2023,6372,Community is We: Modeling Collective Action as a Framework for Digital Preservation,Jess Farrell,Educopia Institute,United States,37.09024,-95.712891,"37.09024, -95.712891",Best practices; education; collaboration; shared research
2022,48,"E-ARK, Ten years and still going strong: Results, Use Cases and Benefits.",Carl Wilson,Open Preservation Foundation,United Kingdom,,,,"E-ARK, Digital Europe Programme, eArchiving"
2022,48,"E-ARK, Ten years and still going strong: Results, Use Cases and Benefits.",Carl Wilson,Open Preservation Foundation,Netherlands,,,,"E-ARK, Digital Europe Programme, eArchiving"
2022,48,"E-ARK, Ten years and still going strong: Results, Use Cases and Benefits.",István Alföldi,Poliphon Kft,Hungary,47.162494,19.503304,"47.162494, 19.503304","E-ARK, Digital Europe Programme, eArchiving"
2022,51,Improving the archiving and contextualization of electronic messaging in French,Édouard Vasseur,École nationale des chartes,France,46.227638,2.213749,"46.227638, 2.213749","email, machine learning, classification, terminology"
2022,51,Improving the archiving and contextualization of electronic messaging in French,Bénédicte Grailles,Université d’Angers,France,46.227638,2.213749,"46.227638, 2.213749","email, machine learning, classification, terminology"
2022,51,Improving the archiving and contextualization of electronic messaging in French,Touria Aït El Mekki,Université d’Angers,France,46.227638,2.213749,"46.227638, 2.213749","email, machine learning, classification, terminology"
2023,4814,Storage and Standards: Shaping Version 4 of the DP Storage Criteria,Nancy McGovern,Global Archivist LLC,United States,37.09024,-95.712891,"37.09024, -95.712891","preservation storage, standards"
2022,55,DNA Data storage for long term digital preservation,Daniel Chadash,Twist Bioscience,United States,37.09024,-95.712891,"37.09024, -95.712891","DNA, Storage"
2022,55,DNA Data storage for long term digital preservation,Euan Cochrane,Yale University Library,United States,37.09024,-95.712891,"37.09024, -95.712891","DNA, Storage"
2022,57,Preservation Strategies for New Forms of Scholarship,Deb Verhoff,NYU Libraries,United States,37.09024,-95.712891,"37.09024, -95.712891","scholarly publishing, web archiving, emulation, dynamic content, preservation strategy"
2022,57,Preservation Strategies for New Forms of Scholarship,Jonathan Greenberg,NYU Libraries,United States,37.09024,-95.712891,"37.09024, -95.712891","scholarly publishing, web archiving, emulation, dynamic content, preservation strategy"
2022,57,Preservation Strategies for New Forms of Scholarship,Karen Hanson,Portico,United States,37.09024,-95.712891,"37.09024, -95.712891","scholarly publishing, web archiving, emulation, dynamic content, preservation strategy"
2023,6161,Rethinking Digital Preservation: Conceptual Foundations,Stephen Abrams,Harvard University,United States,37.09024,-95.712891,"37.09024, -95.712891","abductive inference, abstract reference model, communicology, finite state machine, information experience"
2022,58,The 2022 Revision of the PREMIS Rights Entity,Sarah Romkey,Artefactual Systems,Canada,56.130366,-106.346771,"56.130366, -106.346771","PREMIS, Rights, Datamodel"
2022,58,The 2022 Revision of the PREMIS Rights Entity,Bertrand Caron,Bibliothèque nationale de France,France,46.227638,2.213749,"46.227638, 2.213749","PREMIS, Rights, Datamodel"
2023,1702,"Understanding and implementing mets, A tutorial focused on METS 2",Aaron Elkiss,HathiTrust,United States,37.09024,-95.712891,"37.09024, -95.712891","Metadata and information strategies and workflows; Infrastructure, systems, and tools; Case studies, best practices and novel challenges; Training and education for a new version"
2022,58,The 2022 Revision of the PREMIS Rights Entity,Karin Bredenberg,Kommunalförbundet Sydarkivera,Sweden,60.128161,18.643501,"60.128161, 18.643501","PREMIS, Rights, Datamodel"
2022,58,The 2022 Revision of the PREMIS Rights Entity,Leslie Johnston,National Archives and Records Administration (NARA),United States,37.09024,-95.712891,"37.09024, -95.712891","PREMIS, Rights, Datamodel"
2022,58,The 2022 Revision of the PREMIS Rights Entity,Marjolein Steeman,Netherlands Institute for Sound and Vision,Netherlands,52.132633,5.291266,"52.132633, 5.29126599999999","PREMIS, Rights, Datamodel"
2023,3521,Revision-safe archiving and license-controlled access using distributed ledger technology,Begoña Sanchez Royo,Highbury Research and Development Ltd.,Ireland,53.7797554,-7.3055309,"53.7797554, -7.3055309","Blockchain, Distributed Ledger, Digital Repository, Electronic Archiving"
2022,58,The 2022 Revision of the PREMIS Rights Entity,Jack O'Sullivan,Preservica Ltd,United Kingdom,55.378051,-3.435973,"55.378051, -3.435973","PREMIS, Rights, Datamodel"
2023,317,THE VALORIZATION OF THE TUNISIAN RADIO ARCHIVE IN THE ARTIFICIAL INTELLIGENCE ERA,Randi Cecchine,Independent Researcher,Netherlands,52.132633,5.291266,"52.132633, 5.29126599999999","artificial intelligence, image, music, Audiovisual, chatbot"
